Time, Voltage
32.9969,0.1772
32.9976,0.1722
32.9984,0.1772
32.9991,0.1722
32.9999,0.1823
33.0006,0.1772
33.0013,0.1823
33.0021,0.1823
33.0028,0.1772
33.0035,0.1772
33.0043,0.1823
33.0050,0.1823
33.0057,0.1823
33.0065,0.1874
33.0072,0.1823
33.0079,0.1823
33.0087,0.1823
33.0094,0.1874
33.0101,0.1874
33.0109,0.1823
33.0116,0.1874
33.0123,0.1874
33.0131,0.1874
33.0138,0.1874
33.0146,0.1874
33.0153,0.1874
33.0160,0.1823
33.0168,0.1874
33.0175,0.1874
33.0183,0.1874
33.0190,0.1874
33.0198,0.1874
33.0205,0.1924
33.0212,0.1924
33.0220,0.1874
33.0227,0.1874
33.0235,0.1924
33.0242,0.1874
33.0250,0.1924
33.0257,0.1924
33.0264,0.1924
33.0272,0.1924
33.0279,0.1874
33.0286,0.1924
33.0294,0.1924
33.0301,0.1924
33.0308,0.1924
33.0316,0.1874
33.0323,0.1924
33.0331,0.1924
33.0338,0.1924
33.0345,0.1924
33.0353,0.1874
33.0360,0.1874
33.0367,0.1874
33.0375,0.1874
33.0382,0.1874
33.0389,0.1874
33.0397,0.1874
33.0404,0.1874
33.0411,0.1874
33.0419,0.1874
33.0426,0.1874
33.0434,0.1874
33.0441,0.1924
33.0448,0.1924
33.0456,0.1924
33.0467,0.1874
33.0475,0.1874
33.0483,0.1874
33.0491,0.1924
33.0499,0.1924
33.0507,0.1924
33.0514,0.1924
33.0522,0.1874
33.0529,0.1924
33.0537,0.1924
33.0545,0.1874
33.0552,0.1924
33.0560,0.1924
33.0568,0.1924
33.0575,0.1924
33.0582,0.1924
33.0590,0.1874
33.0597,0.1874
33.0604,0.1874
33.0612,0.1924
33.0622,0.1924
33.0630,0.1874
33.0637,0.1874
33.0650,0.1975
33.0658,0.1874
33.0666,0.1924
33.0674,0.1924
33.0682,0.1924
33.0690,0.1924
33.0697,0.1924
33.0705,0.1924
33.0713,0.1874
33.0720,0.1874
33.0727,0.1874
33.0735,0.1924
33.0742,0.1874
33.0750,0.1874
33.0757,0.1874
33.0764,0.1874
33.0771,0.1874
33.0779,0.1874
33.0786,0.1924
33.0793,0.1874
33.0801,0.1874
33.0808,0.1924
33.0816,0.1874
33.0823,0.1924
33.0830,0.1874
